Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
1/1/2000,AQS,060010007,1,13.9,ug/m3 LC,60,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
1/16/2000,AQS,060010007,1,12.1,ug/m3 LC,57,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
1/19/2000,AQS,060010007,1,8.7,ug/m3 LC,48,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
1/22/2000,AQS,060010007,1,14.6,ug/m3 LC,61,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
1/25/2000,AQS,060010007,1,6.3,ug/m3 LC,35,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
1/28/2000,AQS,060010007,1,29.2,ug/m3 LC,88,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
1/31/2000,AQS,060010007,1,7.5,ug/m3 LC,42,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
2/5/2000,AQS,060010007,1,9.7,ug/m3 LC,52,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
2/6/2000,AQS,060010007,1,15.6,ug/m3 LC,63,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
2/9/2000,AQS,060010007,1,20.4,ug/m3 LC,72,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
2/12/2000,AQS,060010007,1,3.5,ug/m3 LC,19,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
2/15/2000,AQS,060010007,1,9.6,ug/m3 LC,52,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
2/18/2000,AQS,060010007,1,14.3,ug/m3 LC,61,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
2/21/2000,AQS,060010007,1,3.7,ug/m3 LC,21,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
2/24/2000,AQS,060010007,1,7,ug/m3 LC,39,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
2/27/2000,AQS,060010007,1,3.7,ug/m3 LC,21,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
3/1/2000,AQS,060010007,1,9.4,ug/m3 LC,52,Livermore,1,100,88101,PM2.5 - Local Conditions,120,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,41860,"San Francisco-Oakland-Hayward, CA",06,California,001,Alameda,37.687526,-121.784217
